StudentID,TestForm,location,yearLevel
10001,1,0.593,3
10002,1,0.722,3
10003,1,0.722,3
10004,1,-0.153,2
10005,1,1.42,2
10006,1,0.722,2
10007,1,2.53,3
10008,1,0.094,2
10009,1,-0.795,3
10010,1,-0.661,2
10011,1,0.217,3
10012,1,-0.153,2
10013,1,0.593,2
10014,1,0.593,2
10015,1,-0.531,2
10016,1,0.593,3
10017,1,-0.932,2
10018,1,-1.074,2
10019,1,-0.278,3
10020,1,-0.153,2
10021,1,-0.029,2
10022,1,-0.795,2
10023,1,1.127,3
10024,1,0.593,2
10025,1,-1.903,2
10026,1,-0.795,2
10027,1,1.27,3
10028,1,0.988,3
10029,1,0.988,3
10030,1,1.42,3
10031,1,-0.661,2
10032,1,0.094,2
10033,1,0.722,3
10034,1,-2.336,2
10035,1,0.217,2
10036,1,0.854,2
10037,1,0.717,3
10038,1,-1.074,2
10039,1,-0.278,2
10040,1,0.094,3
10041,1,1.27,2
10042,1,1.576,3
10043,1,-0.932,2
10044,1,0.342,3
10045,1,-0.278,2
10046,1,0.217,2
10047,1,0.988,3
10048,1,-0.278,2
10049,1,-0.404,3
10050,1,0.342,3
10051,1,0.593,2
10052,1,-0.404,2
10053,1,1.42,2
10054,1,0.217,2
10055,1,0.217,3
10056,1,-0.665,3
10057,1,-0.661,2
10058,1,-0.347,3
10059,1,-0.404,2
10060,1,-0.531,3
10061,1,1.27,3
10062,1,1.741,3
10063,1,-0.404,2
10064,1,0.094,2
10065,1,-0.278,2
10066,1,0.593,3
10067,1,-1.222,2
10068,1,-0.404,2
10069,1,0.593,3
10070,1,0.854,2
10071,1,0.217,2
10072,1,-0.153,2
10073,1,0.722,3
10074,1,-0.029,2
10075,1,0.722,3
10076,1,1.27,2
10077,1,-0.531,2
10078,1,1.127,3
10079,1,-0.404,2
10080,1,1.741,3
10081,1,-1.222,2
10082,1,0.217,2
10083,1,-0.531,3
10084,1,1.42,3
10085,1,0.722,3
10086,1,-0.029,2
10087,1,1.127,3
10088,1,0.854,2
10089,1,1.27,3
10090,1,-1.377,2
10091,1,-0.029,2
10092,1,-1.074,2
10093,1,0.854,3
10094,1,-0.661,2
10095,1,-0.531,3
10096,1,-1.54,2
10097,1,0.467,2
10098,1,-0.278,3
10099,1,0.342,2
10100,1,0.467,2
10101,1,0.593,3
10102,1,-1.377,2
10103,1,-0.531,2
10104,1,-0.278,3
10105,1,-1.074,2
10106,1,1.127,2
10107,1,0.467,2
10108,1,0.342,3
10109,1,1.27,2
10110,1,0.342,3
10111,1,0.722,2
10112,1,0.988,3
10113,1,-0.531,2
10114,1,0.342,2
10115,1,-0.029,2
10116,1,0.593,2
10117,1,0.217,2
10118,1,-0.153,3
10119,1,0.342,2
10120,1,-5.278,3
10121,1,0.593,3
10122,1,0.988,2
10123,1,-0.661,3
