Identifier,Module_Test1,Module_Test2,Type,Content Domain,Grammar Level,Subdomains,Location,Recommended
i00001,,,MC,D,4,I,-2.115,OK
i00002,,,MC,E,2,I,-2.894,OK
i00003,1A,,MC,C,2,IV,-2.362,OK
i00004,1A,,MC,D,4,IV,-1.511,OK
i00005,1A,,MC,E,2,IV,-1.863,OK
i00006,1A,,MC,A,2,IV,-2.216,OK
i00007,2C,1A,MC,B,3,III,-2.2,OK
i00008,1A,,MR,B,1,II,-1.861,OK
i00009,1A,,MR,C,3,II,-3.087,OK
i00010,,,MC,A,2,I,-1.853,OK
i00011,,,MC,B,1,IV,-1.177,OK
i00012,1A,,MR,D,1,II,-0.996,OK
i00013,,,MC,C,3,IV,-0.601,OK
i00014,1A,,MC,E,3,II,-0.999,OK
i00015,1A,,MC,A,3,II,-0.041,OK
i00016,1A,,MC,B,2,V,-0.389,OK
i00017,,,MC,D,1,IV,0.325,OK
i00018,,1A,MC,E,2,III,-1.322,OK
i00019,,1A,MC,A,2,III,-1.266,OK
i00023,,1A,MR,B,1,I,-1.347,OK
i00027,2A,,MC,D,2,V,-0.159,OK
i00028,2A,,MR,E,4,V,-0.026,OK
i00029,2A,,MC,A,4,V,0.021,OK
i00030,2A,,Sequence,B,3,II,0.291,OK
i00031,2A,,MC,C,1,II,0.649,OK
i00032,2A,,MR,D,3,II,0.441,OK
i00033,2A,,MC,E,1,II,0.855,OK
i00034,2A,,MR,A,1,II,0.947,OK
i00035,2A,,MC,B,4,V,1.542,OK
i00036,2C,1A,MC,C,1,III,-2.757,OK
i00037,2A,,MC,C,2,V,1.857,OK
i00038,2A,,Match,D,4,V,1.943,OK
i00039,,,MC,E,3,IV,-2.564,OK
i00043,,1A,MC,C,3,I,-2.324,OK
i00044,2B,,MC,A,2,V,-2.564,*
i00045,2B,,MC,B,1,III,-1.786,OK
i00046,2B,,MC,C,3,III,-1.743,OK
i00047,2B,,MC,D,1,III,-1.211,OK
i00048,2B,,MC,E,3,III,-1.163,OK
i00049,2B,,MC,A,3,III,-0.878,OK
i00050,2B,,MC,B,2,I,-0.739,OK
i00051,2B,,MC,C,4,I,-0.358,OK
i00052,2B,,MC,D,2,I,-0.084,OK
i00053,2B,,MC,E,4,I,0.173,OK
i00054,2B ,,MR,A,4,I,0.575,OK
i00058,3B,1A,MC,A,1,IV,-1.167,OK
i00059,2C,,MC,A,1,III,-3.365,OK
i00060,,1A,MR,D,1,I,-0.801,OK
i00061,1A,1A,MC,A,1,I,0.328,OK
i00062,,1A,MC,E,3,I,-0.429,OK
i00063,,1A,MC,A,3,I,0.548,OK
i00064,,1A,MC,B,2,IV,1.35,OK
i00065,2C,,MC,B,4,I,-3.149,OK
i00068,2C,,MC,C,2,I,-2.498,OK
i00071,2C,,MC,D,4,I,-2.465,OK
i00073,2C,,MC,E,2,I,-2.177,OK
i00074,2C,,MC,A,2,I,-1.836,OK
i00075,2C,,MC,B,1,IV,-1.468,OK
i00077,,,MC,A,3,IV,-1.145,OK
i00078,2C,,MR,C,3,IV,-0.553,OK
i00079,3A,,Match,E,4,II,0.834,OK
i00080,3A,,MR,A,4,II,1.405,OK
i00081,,2A,MC,C,4,IV,1.031,OK
i00082,3A,,MR,B,3,IV,1.914,OK
i00083,3A,,MC,C,1,IV,2.09,OK
i00084,3A,,MC,D,3,IV,2.104,OK
i00085,,2A,MC,D,2,IV,1.065,OK
i00086,,2A,Sequence,E,4,IV,1.237,OK
i00087,3A,2A,Match,D,1,IV,1.452,OK
i00088,,2A,MC,A,4,IV,1.485,OK
i00089,3A,,MR,E,1,IV,3.388,OK
i00090,,2A,MR,B,3,I,1.8,OK
i00093,,2A,MC,C,1,I,1.915,OK
i00095,,2A,MR,D,3,I,1.968,OK
i00096,3A,2A,MC,E,3,IV,2.319,OK
i00097,3B,,MC,A,2,II,-1.792,OK
i00098,,2A,MC,E,1,I,2.241,OK
i00099,3B,,MC,B,1,V,-1.647,OK
i00100,,2A,MC,A,1,I,2.483,OK
i00101,3B,,MC,C,3,V,-1.468,OK
i00102,,2A,MC,B,4,IV,2.749,OK
i00104,3B,,MC,D,1,V,-0.737,OK
i00106,3B,,MC,E,3,V,-0.262,OK
i00107,3B,,MC,A,3,V,-0.059,OK
i00108,3B,,MC,B,2,III,0.227,OK
i00112,3C,,MC,D,3,V,-4.578,OK
i00114,1A,2B,MR,B,4,IV,-1.97,OK
i00115,,2B,MR,C,2,IV,-1.688,OK
i00116,3C,,MC,E,1,V,-3.943,OK
i00117,,2B,Match,D,4,IV,-1.07,OK
i00118,,2B,MC,E,2,IV,-0.691,OK
i00119,3C,3C,MC,D,2,III,-3.794,OK
